29,20,5
29,20,3
3,22,8
3,5,25
22,4,19
25,15,11
13,15,20
15,24,12
8,3,28
32,6,20
5,20,15
11,10,20
11,10,20
24,27,3
24,27,3
25,20,5
25,20,15
8,20,3
2,1,20
8,28,20
23,15,20
20,2,5
8,5,4
19,20,5
15,1,34
22,30,20
12,21,24
5,20,4
25,15,5
24,23,20
2,17,22
31,22,33
20,18,16
15,6,12
10,11,20
34,15,5
2,4,5
15,14,12
5,2,20
9,20,5
15,0,31
25,5,3
33,10,2
28,4,5
20,9,5
30,20,34
6,20,7
21,20,8
20,21,15
30,31,32
8,9,3
4,17,20
6,15,20
20,27,9
1,20,24
14,20,4
20,18,5
17,16,20
20,21,26
20,6,25
10,20,17
27,25,3
4,23,3
20,5,15
33,26,4
31,20,32
20,30,9
33,4,16
34,3,11
17,20,12
13,2,34
4,20,14
8,3,20
22,20,2
23,31,20
32,11,3
11,20,22
20,28,27
20,6,21
33,20,28
4,33,17
23,27,4
8,5,34
22,30,20
26,11,5
15,20,22
2,15,5
11,15,12
16,20,30
1,15,20
20,21,11
1,32,6
13,20,15
2,20,15
31,12,19
7,20,5
8,30,25
28,20,19
9,5,34
27,5,11
10,16,20
22,6,20
6,9,11
25,15,2
28,4,26
20,15,2
15,31,12
22,29,8
20,14,11
25,5,21
33,2,20
19,20,26
6,0,13
14,20,4
19,6,22
31,22,20
33,20,4
5,34,32
5,27,19
20,6,22
31,14,20
22,20,4
20,22,9
0,6,20
6,20,32
31,15,20
31,22,28
4,31,22
18,20,30
32,6,20
7,18,30
7,5,27
15,31,20
14,20,11
0,15,5
5,20,27
2,5,14
30,18,5
14,22,20
15,13,34
32,23,20
32,11,20
30,5,20
25,20,15
20,15,22
20,31,24
9,34,20
22,5,0
28,11,31
8,29,20
30,22,5
13,27,31
2,5,34
9,15,20
33,2,20
17,20,21
32,6,9
18,20,8
26,20,5
14,30,20
6,4,20
34,6,0
15,20,17
6,9,20
3,20,22
26,4,20
6,20,32
27,2,20
31,0,15
30,4,20
30,8,5
25,20,5
14,2,26
